x,y,z,v
0,0,0,8.612
0,1,0,6.070
0,2,0,-7.781
0,3,0,1.904
0,4,0,-6.385
0,5,0,5.779
0,6,0,-5.316
0,7,0,7.180
0,8,0,-10.854
0,9,0,-13.204
1,0,0,-12.656
1,1,0,-4.630
1,2,0,7.661
1,3,0,4.606
1,4,0,-4.246
1,5,0,6.593
1,6,0,-13.724
1,7,0,4.953
1,8,0,-11.062
1,9,0,-0.206
2,0,0,-8.098
2,1,0,-4.917
2,2,0,-11.026
2,3,0,-12.914
2,4,0,3.221
2,5,0,-4.443
2,6,0,-10.005
2,7,0,-7.603
2,8,0,7.906
2,9,0,-10.119
3,0,0,-5.692
3,1,0,6.947
3,2,0,5.605
3,3,0,-8.111
3,4,0,-6.396
3,5,0,-13.553
3,6,0,-4.887
3,7,0,-7.466
3,8,0,6.127
3,9,0,-12.931
4,0,0,5.624
4,1,0,-12.126
4,2,0,7.907
4,3,0,-8.493
4,4,0,8.311
4,5,0,3.966
4,6,0,1.197
4,7,0,2.376
4,8,0,-7.903
4,9,0,-10.124
5,0,0,-10.576
5,1,0,-12.901
5,2,0,-11.532
5,3,0,4.958
5,4,0,-10.165
5,5,0,-5.010
5,6,0,-9.251
5,7,0,-6.316
5,8,0,-11.133
5,9,0,-5.715
6,0,0,-9.311
6,1,0,-4.659
6,2,0,3.366
6,3,0,1.169
6,4,0,0.278
6,5,0,-9.495
6,6,0,-4.818
6,7,0,8.232
6,8,0,1.438
6,9,0,1.259
7,0,0,-5.713
7,1,0,-11.859
7,2,0,0.717
7,3,0,-10.421
7,4,0,-12.243
7,5,0,-11.548
7,6,0,3.081
7,7,0,-6.865
7,8,0,-6.838
7,9,0,4.699
8,0,0,-11.819
8,1,0,-11.867
8,2,0,-5.329
8,3,0,-4.751
8,4,0,8.969
8,5,0,3.448
8,6,0,5.122
8,7,0,-10.117
8,8,0,-0.558
8,9,0,3.466
9,0,0,-13.646
9,1,0,6.433
9,2,0,-12.995
9,3,0,-8.120
9,4,0,-5.193
9,5,0,7.955
9,6,0,-0.501
9,7,0,4.702
9,8,0,-13.924
9,9,0,8.614
0,0,1,3.152
0,1,1,5.633
0,2,1,-4.853
0,3,1,-6.052
0,4,1,-6.174
0,5,1,-8.389
0,6,1,-6.074
0,7,1,-10.322
0,8,1,9.295
0,9,1,4.207
1,0,1,9.412
1,1,1,-10.209
1,2,1,-9.601
1,3,1,7.534
1,4,1,-7.584
1,5,1,5.512
1,6,1,2.139
1,7,1,9.160
1,8,1,-11.428
1,9,1,-5.887
2,0,1,-6.499
2,1,1,0.278
2,2,1,6.717
2,3,1,-6.401
2,4,1,6.308
2,5,1,-9.914
2,6,1,5.075
2,7,1,-13.249
2,8,1,-4.524
2,9,1,-9.540
3,0,1,4.853
3,1,1,5.748
3,2,1,-12.854
3,3,1,-9.680
3,4,1,1.107
3,5,1,-8.487
3,6,1,-9.284
3,7,1,2.899
3,8,1,-11.602
3,9,1,-9.874
4,0,1,9.435
4,1,1,-8.195
4,2,1,-5.951
4,3,1,0.650
4,4,1,4.872
4,5,1,-7.779
4,6,1,-6.385
4,7,1,-8.996
4,8,1,-4.271
4,9,1,-8.851
5,0,1,-13.153
5,1,1,-5.066
5,2,1,-11.571
5,3,1,-12.322
5,4,1,2.290
5,5,1,-10.268
5,6,1,2.613
5,7,1,-12.447
5,8,1,-6.658
5,9,1,2.634
6,0,1,-6.324
6,1,1,-5.636
6,2,1,-0.071
6,3,1,-10.594
6,4,1,7.539
6,5,1,-6.225
6,6,1,0.017
6,7,1,4.748
6,8,1,3.290
6,9,1,-13.108
7,0,1,4.541
7,1,1,-5.788
7,2,1,-12.262
7,3,1,-5.323
7,4,1,-5.405
7,5,1,7.063
7,6,1,-9.872
7,7,1,-10.692
7,8,1,-13.166
7,9,1,-13.227
8,0,1,7.321
8,1,1,5.414
8,2,1,-13.330
8,3,1,-9.045
8,4,1,8.257
8,5,1,5.861
8,6,1,-12.566
8,7,1,-12.054
8,8,1,-10.945
8,9,1,-12.210
9,0,1,-10.313
9,1,1,-7.073
9,2,1,4.407
9,3,1,3.376
9,4,1,-3.553
9,5,1,-6.203
9,6,1,-12.559
9,7,1,3.179
9,8,1,6.493
9,9,1,6.721
0,0,2,-7.492
0,1,2,0.962
0,2,2,3.476
0,3,2,4.177
0,4,2,-4.508
0,5,2,7.844
0,6,2,-12.662
0,7,2,-5.484
