x,y,z,v
0,0,0,8.612
0,1,0,6.070
0,2,0,-7.781
0,3,0,1.904
0,4,0,-6.385
0,5,0,5.779
0,6,0,-5.316
0,7,0,7.180
0,8,0,-10.854
0,9,0,-13.204
0,10,0,-12.656
0,11,0,-4.630
0,12,0,7.661
0,13,0,4.606
0,14,0,-4.246
1,0,0,6.593
1,1,0,-13.724
1,2,0,4.953
1,3,0,-11.062
1,4,0,-0.206
1,5,0,-8.098
1,6,0,-4.917
1,7,0,-11.026
1,8,0,-12.914
1,9,0,3.221
1,10,0,-4.443
1,11,0,-10.005
1,12,0,-7.603
1,13,0,7.906
1,14,0,-10.119
2,0,0,-5.692
2,1,0,6.947
2,2,0,5.605
2,3,0,-8.111
2,4,0,-6.396
2,5,0,-13.553
2,6,0,-4.887
2,7,0,-7.466
2,8,0,6.127
2,9,0,-12.931
2,10,0,5.624
2,11,0,-12.126
2,12,0,7.907
2,13,0,-8.493
2,14,0,8.311
3,0,0,3.966
3,1,0,1.197
3,2,0,2.376
3,3,0,-7.903
3,4,0,-10.124
3,5,0,-10.576
3,6,0,-12.901
3,7,0,-11.532
3,8,0,4.958
3,9,0,-10.165
3,10,0,-5.010
3,11,0,-9.251
3,12,0,-6.316
3,13,0,-11.133
3,14,0,-5.715
4,0,0,-9.311
4,1,0,-4.659
4,2,0,3.366
4,3,0,1.169
4,4,0,0.278
4,5,0,-9.495
4,6,0,-4.818
4,7,0,8.232
4,8,0,1.438
4,9,0,1.259
4,10,0,-5.713
4,11,0,-11.859
4,12,0,0.717
4,13,0,-10.421
4,14,0,-12.243
5,0,0,-11.548
5,1,0,3.081
5,2,0,-6.865
5,3,0,-6.838
5,4,0,4.699
5,5,0,-11.819
5,6,0,-11.867
5,7,0,-5.329
5,8,0,-4.751
5,9,0,8.969
5,10,0,3.448
5,11,0,5.122
5,12,0,-10.117
5,13,0,-0.558
5,14,0,3.466
6,0,0,-13.646
6,1,0,6.433
6,2,0,-12.995
6,3,0,-8.120
6,4,0,-5.193
6,5,0,7.955
6,6,0,-0.501
6,7,0,4.702
6,8,0,-13.924
6,9,0,8.614
6,10,0,2.263
6,11,0,4.744
6,12,0,-5.520
6,13,0,-6.719
6,14,0,-6.841
7,0,0,-9.056
7,1,0,-6.741
7,2,0,-10.989
7,3,0,8.406
7,4,0,3.318
7,5,0,-4.477
7,6,0,-10.876
7,7,0,-10.268
7,8,0,6.645
7,9,0,-8.251
7,10,0,4.623
7,11,0,1.250
7,12,0,8.271
7,13,0,-12.095
7,14,0,-6.554
8,0,0,-7.166
8,1,0,-0.611
8,2,0,5.828
8,3,0,-7.068
8,4,0,5.419
8,5,0,-10.580
8,6,0,-8.813
8,7,0,-13.916
8,8,0,-5.190
8,9,0,-10.206
8,10,0,3.964
8,11,0,4.860
8,12,0,-13.520
8,13,0,-10.347
8,14,0,0.218
9,0,0,-9.153
9,1,0,-9.951
9,2,0,2.010
9,3,0,-12.269
9,4,0,-10.540
9,5,0,8.546
9,6,0,-8.861
9,7,0,-6.618
9,8,0,-0.238
9,9,0,3.983
9,10,0,-8.446
9,11,0,-7.051
9,12,0,-9.663
9,13,0,-4.938
9,14,0,-9.517
10,0,0,-13.820
10,1,0,-5.733
10,2,0,-12.237
10,3,0,-12.989
10,4,0,1.401
10,5,0,-10.934
10,6,0,1.724
10,7,0,-13.114
10,8,0,-7.325
10,9,0,1.745
10,10,0,-6.990
10,11,0,-6.303
10,12,0,-0.960
10,13,0,-11.261
10,14,0,6.650
11,0,0,-6.892
11,1,0,-0.872
11,2,0,3.859
11,3,0,2.401
11,4,0,-13.775
11,5,0,3.652
11,6,0,-6.455
11,7,0,-12.928
11,8,0,-5.990
11,9,0,-6.072
11,10,0,6.174
11,11,0,-10.539
11,12,0,-11.359
11,13,0,-13.832
11,14,0,-13.894
12,0,0,6.432
12,1,0,4.525
12,2,0,-13.997
12,3,0,-9.712
12,4,0,7.368
12,5,0,4.973
12,6,0,-13.233
12,7,0,-12.721
12,8,0,-11.612
12,9,0,-12.876
12,10,0,-10.980
12,11,0,-7.740
12,12,0,3.518
12,13,0,2.487
12,14,0,-4.219
13,0,0,-6.870
13,1,0,-13.226
13,2,0,2.290
13,3,0,5.604
13,4,0,5.832
13,5,0,-8.825
13,6,0,-0.816
13,7,0,-11.302
13,8,0,2.399
13,9,0,-5.841
13,10,0,6.066
13,11,0,-13.996
13,12,0,-6.818
